Date,SP
2010-05-26,28.13408662236019
2010-05-27,29.082725722564884
2010-05-28,28.73875734030367
2010-06-01,28.310338540740158
2010-06-02,29.07262116744759
2010-06-03,29.170413603067058
2010-06-04,28.156257374438336
2010-06-07,27.796448396950133
2010-06-08,28.123607589139432
2010-06-09,27.976035269635318
2010-06-10,28.766576015295673
2010-06-11,28.86800504605531
2010-06-14,28.795582831445646
2010-06-15,29.435706647955712
2010-06-16,29.41199259274963
2010-06-17,29.471127821673576
2010-06-18,29.51426285829813
2010-06-21,29.448261524938527
2010-06-22,28.93028361402983
2010-06-23,28.83051164597278
2010-06-24,28.357940827165717
2010-06-25,28.43214839707851
2010-06-28,28.341912294464695
2010-06-29,27.496599320991656
2010-06-30,27.283773866976702
2010-07-01,27.193867930472766
2010-07-02,27.053042093230452
2010-07-06,27.211274518612562
2010-07-07,28.070179089702542
2010-07-08,28.332515131772677
2010-07-09,28.511248187745174
2010-07-12,28.503848650864775
2010-07-13,28.943489026112946
2010-07-14,28.93674832856714
2010-07-15,28.98801469436717
2010-07-16,28.207794472743135
2010-07-19,28.38607737175869
2010-07-20,28.70600318843435
2010-07-21,28.350825699682467
2010-07-22,28.939998007901373
2010-07-23,29.194852078453103
2010-07-26,29.527299328671443
2010-07-27,29.47018097625218
2010-07-28,29.302197263146315
2010-07-29,29.249545400075334
2010-07-30,29.415705359323404
2010-08-02,30.03515971162583
2010-08-03,29.9033397707471
2010-08-04,30.148098083443863
2010-08-05,30.12108841537899
2010-08-06,30.008571818066752
2010-08-09,30.17988505963296
2010-08-10,30.00480715996409
2010-08-11,29.20137179047241
2010-08-12,29.060858688640973
2010-08-13,28.952274719622206
2010-08-16,28.96795728109341
2010-08-17,29.336806391949203
2010-08-18,29.36504017663165
2010-08-19,28.88379987305881
2010-08-20,28.766344731393257
2010-08-23,28.64976691172829
2010-08-24,28.212088962485875
2010-08-25,28.268887555777294
2010-08-26,28.033780831768635
2010-08-27,28.509931965569436
2010-08-30,28.08530223879198
2010-08-31,27.859972315026962
2010-09-01,28.678394899539743
2010-09-02,28.89708992486828
2010-09-03,29.2944175184193
2010-09-07,28.99023919713711
2010-09-08,29.21529682385993
2010-09-09,29.34373440106195
2010-09-10,29.48966367259815
2010-09-13,29.802123403700687
2010-09-14,29.75432446965827
2010-09-15,29.86208457171003
2010-09-16,29.846227986582686
2010-09-17,29.87601924890807
2010-09-20,30.30365679271224
2010-09-21,30.22676086823037
2010-09-22,30.095827693615778
2010-09-23,29.79623536760909
2010-09-24,30.39180019041514
2010-09-27,30.217690010346654
2010-09-28,30.356565068306576
